Machine_ID,Temperature,Vibration,Pressure,RPM,Oil_Viscosity,Age_in_Days,Failure
M003,64.19320891932136,0.4597037466878286,3.6582673486118784,1328.7932950217748,10.15859785933813,313,0
M001,65.67319057295332,0.3090189906074948,3.1143832955219595,1025.2095802723516,8.160345722152108,409,1
M002,67.96256409150135,0.2484469543137678,4.051181478807849,-4572.231778579582,6.8628205881146345,360,1
M001,73.16639011067242,0.6197743020257535,3.4897251163728,7019.758931011022,9.479240035716515,185,1
M003,71.15116526710057,0.45978146820760685,3.642405978123878,-3877.2944741119045,7.771146725516745,497,1
M001,77.41110112356638,0.39280415322718265,2.9458495077754883,610.6674073463323,8.962601626270368,256,1
M002,72.19038805753455,0.5427905376222786,2.9382094025429306,4411.354427377489,7.803709549735525,165,1
M001,70.52322943087391,0.47060949242057953,3.7519874406628064,5291.972496390768,7.8385701294110905,59,1
M001,75.22754347645197,0.3455078744761807,3.8803360263080338,1549.2749341744884,8.34999555007619,368,1
M003,64.17901423416015,0.569185196608714,3.0842378248239104,-406.6346549542827,9.0704106288221,135,0
M001,70.37156998299815,0.3348941198881393,3.1978917978177313,3194.5091006466673,9.838070632596187,404,1
M001,71.58903370252561,0.46515271977468625,4.554628009536711,1511.5669591536607,9.086104813019924,178,0
M002,83.68219956647495,0.5878478053589922,3.7759034391790975,9659.285043067903,8.508032430029566,344,1
M003,68.16439954295473,0.2544330972600849,3.1859577413100513,1873.0546353829825,9.764508583968855,57,0
M002,63.50124117354006,0.5730916543835466,3.2842590845415396,4915.757872850752,8.411037631502811,298,1
M003,67.40400023808752,0.49118709762673685,4.015713741184357,4229.780456227036,7.944079670870531,74,1
M001,82.13386050140772,0.5908974111133941,3.837924649792796,822.8935633480696,9.124432388415368,106,1
M001,66.28820153075371,0.24098768521555186,3.259818686788687,3931.3805129378966,8.251140592292149,218,1
M002,70.82519178502896,0.5408508526254948,3.010319116283856,2210.1321129680205,8.08928092014739,334,0
M002,66.19840628297099,0.5176230844713934,2.704674817621078,2808.841362178074,8.113782499099312,417,1
M003,74.78720932842973,0.47329065523518926,3.735459226438166,2848.297072939418,8.339415842868275,300,0
M001,69.22058998768489,0.5192394798042518,3.846733316450109,7408.594549700776,10.160585591641723,350,1
M002,74.14468042088548,0.6177904165712256,3.021772352470432,795.4563458474674,8.653984361775398,51,0
M002,68.1845108661157,0.28935491885655407,3.6153625318317935,-2015.9520534536096,8.458422680610163,166,0
M003,63.53781684237802,0.3475305642772386,3.705857199976583,5646.778192363197,8.228428543607672,399,1
M001,76.1305840286694,0.6140926291979394,3.402400822468219,769.1981970698305,6.923455099805077,34,1
M002,68.8063046411114,0.5661486067294831,3.3514419244662657,1717.9549671906261,8.54760038891156,115,0
M003,74.41308390705674,0.41719008388079454,3.9718890368719917,-2168.4240507769064,7.242083652678942,446,1
M001,70.63976177619875,0.525719455370932,3.2783183323884706,2142.8562374159906,8.386470740215044,374,1
M001,65.29502896317699,0.6109807959532655,3.4742833048437554,6402.4719995765245,8.131331980708147,440,1
M003,62.333476242213564,0.4068484324177309,2.6381220193555146,6280.360262764536,8.144198731028936,327,1
M003,74.01149553101556,0.5534458678001012,3.9915643311346747,-743.6405634483672,6.916518291822935,301,1
M001,77.40078949421337,0.6329799284261871,3.3021696166553345,-333.4361209187314,8.1895228770171,326,0
M002,72.58794722070624,0.656021109952989,4.145242478795256,1607.0420032063203,7.333513354652424,156,1
M002,71.55728595321547,0.6277101192539294,2.4437429285708823,1442.6410609552684,8.421949597848185,214,1
M003,68.67706107100027,0.5562401564882726,3.020501871367374,4141.118903335232,10.08540429366835,125,1
M001,69.30517310679285,0.5407136311183692,3.8720594094665777,1940.371307595095,8.799525616514824,130,0
M002,64.76772216538949,0.4986416113253765,3.2161201905264383,7331.704276228866,7.725811077311189,338,1
M001,63.27321402181852,0.7386815826504126,3.7725867835320805,-3798.501984352504,7.910545774751052,285,1
M003,69.46354562646957,0.4915220043276176,3.1978901231219914,-2673.4484316408625,7.522745253988583,495,1
M003,70.96012625850393,0.48995737262870875,3.0988809772906274,-2815.046295163188,9.071708579056775,48,0
M002,69.81326050187786,0.6586232702465321,2.6900397379877803,-1800.1204695293654,8.024266966019011,394,1
M002,78.00465485103511,0.4938370240382939,3.808550328300046,1181.8353001633668,8.418234244500265,111,1
M002,65.85485441357531,0.5411907200557182,2.7649739124203645,4722.050910880589,8.147524459706721,422,1
M002,78.95971336977966,0.46942939075882245,3.9479661932105943,1411.331959936155,8.178591254166628,370,1
M001,79.77785503814893,0.41812457957521726,4.0088593088928794,3383.8283371433645,7.497710533361822,58,1
M002,76.75356948443327,0.5493214936456069,3.428499308364488,-4632.733675126047,8.421671101466817,198,0
M003,68.14345956633129,0.41923143106601846,3.3993109219255606,-1483.20890152623,8.853465039464155,271,0
M002,62.66483678421388,0.5285369549202527,3.406923674770334,5176.906495017121,9.750671176960864,344,1
M003,80.52765771511565,0.5618794857458315,2.779744111219113,5261.299815363511,8.607596507291573,196,1
M001,63.06339214657235,0.52566860269903,4.058185008314657,4070.3459054928626,10.599948093118467,45,1
M003,67.68447487697158,0.5150682825335321,3.3682165754954676,529.900611596333,7.860102846186534,435,1
M003,71.8195259713288,0.5576946616091552,3.0688617389494657,4328.498841895495,7.938625739725365,277,1
M003,67.57837241654084,0.6048563923852776,2.8753870351857826,2060.4236288951906,8.869019129459744,128,1
M001,67.21300513260086,0.45196493945314936,3.245463689425087,3146.3772606852763,6.934803598407317,439,1
M003,71.68747081037107,0.48755844304724544,3.5980754338256404,3643.9288159693015,8.43181744035613,359,1
M001,73.00636068990522,0.5760467514444453,3.407298876104683,6982.671146314968,7.742200792491032,376,1
M002,60.1278626657466,0.61770830583311,3.5357126270746835,1692.8654490268036,9.275736421440632,103,0
M002,73.4687752871075,0.42668561852305287,3.803456594402448,6198.5999916469955,9.17257778067452,308,1
M002,70.21644487030485,0.6766709851713019,3.3368283030573758,2322.8023061330996,8.463814508724601,103,1
M002,71.44862079556697,0.6558460416096393,3.673791633630557,1025.1669499412753,8.933440712163755,360,1
M002,78.43836057554748,0.49741180384513334,3.8574042466238745,8027.038548259593,8.142889186832106,444,1
M002,66.6488525832924,0.6791251474270612,3.0884116085789586,-942.8276732934719,9.051925493048678,329,1
